year,picture,rating,runtime,genre,subgenre,release,score,synopsis,,,,,,,,,,,,,,,,,,,,,,,,
1955,Marty,7.7,90,Drama,Romance,June,0,A middle-aged butcher and a school teacher who have given up on the idea of love meet at a dance and fall in love.,,,,,,,,,,,,,,,,,,,,,,,,
1954,On the Waterfront,8.3,108,Crime,Drama,June,88,An ex-prize fighter turned longshoreman struggles to stand up to his corrupt union bosses.,,,,,,,,,,,,,,,,,,,,,,,,
1953,From Here to Eternity,7.8,118,Drama,Romance,October,0,In 1941 Hawaii a private is cruelly punished for not boxing on his units team while his captains wife and second in command are falling in love.,,,,,,,,,,,,,,,,,,,,,,,,
1952,The Greatest Show on Earth,6.7,152,Drama,Family,May,0,The dramatic lives of trapeze artists a clown and an elephant trainer against a background of circus spectacle.,,,,,,,,,,,,,,,,,,,,,,,,
1951,An American in Paris,7.3,113,Musical,Romance,November,0,Three friends struggle to find work in Paris. However things become more complicated when two of them fall in love with the same woman.,,,,,,,,,,,,,,,,,,,,,,,,
1950,All About Eve,8.3,138,Comedy,Drama,January,0,An ingenue insinuates herself in to the company of an established but aging stage actress and her circle of theater friends.,,,,,,,,,,,,,,,,,,,,,,,,
1949,All the King's Men,7.6,110,Drama,NA,January,0,The rise and fall of a corrupt politician who makes his friends richer and retains power by dint of a populist appeal.,,,,,,,,,,,,,,,,,,,,,,,,
1948,Hamlet,7.9,155,Drama,NA,August,0,Prince Hamlet struggles over whether or not he should kill his uncle whom he suspects has murdered his father the former king.,,,,,,,,,,,,,,,,,,,,,,,,
1947,Gentleman's Agreement,7.4,118,Drama,NA,February,0,A reporter pretends to be Jewish in order to cover a story on anti-Semitism and personally discovers the true depths of bigotry and hatred.,,,,,,,,,,,,,,,,,,,,,,,,
1946,The Best Years of Our Lives,8.2,172,Drama,Romance,June,0,Three WWII veterans return home to small-town America to discover that they and their families have been irreparably changed.,,,,,,,,,,,,,,,,,,,,,,,,
1945,The Lost Weekend,8,101,Drama,Film-Noir,November,0,The desperate life of a chronic alcoholic is followed through a four day drinking bout.,,,,,,,,,,,,,,,,,,,,,,,,
1944,Going My Way,7.3,126,Comedy,Drama,October,0,Youthful Father Chuck OMalley led a colorful life of sports song and romance before joining the Roman Catholic clergy but his level gaze and twinkling eyes make it clear that he knows ...                See full summaryÔ_Ô_,,,,,,,,,,,,,,,,,,,,,,,,
1943,Casablanca,8.6,102,Drama,Romance,January,0,Set in Casablanca Morocco during the early days of World War II: An American expatriate meets a former lover with unforeseen complications.,,,,,,,,,,,,,,,,,,,,,,,,
1942,Mrs. Miniver,7.6,134,Drama,Romance,December,0,A British family struggles to survive the first months of World War II.,,,,,,,,,,,,,,,,,,,,,,,,
1941,How Green Was My Valley,7.8,118,Drama,Family,April,0,At the turn of the century in a Welsh mining village the Morgans (he stern she gentle) raise coal-mining sons and hope their youngest will find a better life.,,,,,,,,,,,,,,,,,,,,,,,,
1940,Rebecca,8.2,130,Drama,Mystery,April,0,A self-conscious bride is tormented by the memory of her husbands dead first wife.,,,,,,,,,,,,,,,,,,,,,,,,
1939,Gone With the Wind,8.2,238,Drama,Romance,January,0,A manipulative Southern belle carries on a turbulent affair with a blockade runner during the American Civil War.,,,,,,,,,,,,,,,,,,,,,,,,
1938,You Can't Take it With You,8,126,Comedy,Drama,November,0,A man from a family of rich snobs becomes engaged to a woman from a good-natured but decidedly eccentric family.,,,,,,,,,,,,,,,,,,,,,,,,
1937,The Life of Emile Zola,7.3,116,Biography,Drama,October,0,The biopic of the famous French muckraking writer and his involvement in fighting the injustice of the Dreyfuss Affair.,,,,,,,,,,,,,,,,,,,,,,,,
1936,The Great Ziegfeld,6.8,176,Biography,Drama,April,0,This biography follows the ups and downs of Florenz Ziegfeld famed producer of extravagant stage revues.,,,,,,,,,,,,,,,,,,,,,,,,
1935,Mutiny on the Bounty,7.8,132,Adventure,Drama,NA,0,Fletcher Christian successfully leads a revolt against the ruthless Captain Bligh on the HMS Bounty. However Bligh returns one year later hell bent on avenging his captors.,,,,,,,,,,,,,,,,,,,,,,,,
1934,It Happened One Night,8.2,105,Comedy,Romance,February,0,A spoiled heiress running away from her family is helped by a man who is actually a reporter in need of a story.,,,,,,,,,,,,,,,,,,,,,,,,
1933,Cavalcade,6.1,112,Drama,Romance,April,0,A cavalcade of English life from New Years Eve 1899 until 1933 seen through the eyes of well-to-do Londoners Jane and Robert Marryot. Amongst events touching their family are the Boer War...                See full summaryÔ_Ô_,,,,,,,,,,,,,,,,,,,,,,,,
1931,Grand Hotel,7.6,112,Drama,Romance,September,0,A group of very different individuals staying at a luxurious hotel in Berlin deal with each of their respective dramas.,,,,,,,,,,,,,,,,,,,,,,,,
1930,Cimarron,6,123,Drama,Western,February,0,A newspaper editor settles in an Oklahoma boom town with his reluctant wife at the end of the nineteenth century.,,,,,,,,,,,,,,,,,,,,,,,,
1929,All Quiet on the Western Front,8.1,136,Drama,War,August,0,A young soldier faces profound disillusionment in the soul-destroying horror of World War I.,,,,,,,,,,,,,,,,,,,,,,,,
1928,The Broadway Melody,6.4,100,Musical,Romance,June,0,Harriet and Queenie Mahoney a vaudeville act come to Broadway where their friend Eddie Kerns needs them for his number in one of Francis Zanfields shows. Eddie was in love with Harriet...                See full summaryí_Œ_í__,,,,,,,,,,,,,,,,,,,,,,,,
1927,Wings,7.8,144,Drama,Romance,January,0,Two young men one rich one middle class who are in love with the same woman become fighter pilots in World War I.,,,,,,,,,,,,,,,,,,,,,,,,
2018,Bohemian Rhapsody,8,133,Drama,Biography,November,49,"Freddie Mercury -- the lead singer of Queen -- defies stereotypes and convention to become one of history's most beloved entertainers. The band's revolutionary sound and popular songs lead to Queen's meteoric rise in the 1970s. After leaving the group to pursue a solo career, Mercury reunites with Queen for the benefit concert Live Aid -- resulting in one of the greatest performances in rock 'n' roll history.",,,,,,,,,,,,,,,,,,,,,,,,
